1,4,7,8,13,17,18,78
28,Some-college,Adm-clerical,Not-in-family,40,28 Adm-clerical,28 Not-in-family,Adm-clerical Not-in-family
53,HS-grad,Adm-clerical,Wife,40,53 Adm-clerical,53 Wife,Adm-clerical Wife
49,Some-college,Exec-managerial,Husband,50,49 Exec-managerial,49 Husband,Exec-managerial Husband
25,Some-college,noValueSetHere123156456,Own-child,40,25 noValueSetHere123156456,25 Own-child,noValueSetHere123156456 Own-child
19,Some-college,Prof-specialty,Own-child,32,19 Prof-specialty,19 Own-child,Prof-specialty Own-child
31,Bachelors,Sales,Own-child,40,31 Sales,31 Own-child,Sales Own-child
29,Bachelors,Sales,Husband,70,29 Sales,29 Husband,Sales Husband
23,Some-college,Machine-op-inspct,Not-in-family,40,23 Machine-op-inspct,23 Not-in-family,Machine-op-inspct Not-in-family
79,Some-college,Prof-specialty,Other-relative,20,79 Prof-specialty,79 Other-relative,Prof-specialty Other-relative
27,HS-grad,Other-service,Own-child,40,27 Other-service,27 Own-child,Other-service Own-child
40,Assoc-acdm,Adm-clerical,Husband,40,40 Adm-clerical,40 Husband,Adm-clerical Husband
67,10th,noValueSetHere123156456,Husband,2,67 noValueSetHere123156456,67 Husband,noValueSetHere123156456 Husband
18,11th,Other-service,Own-child,22,18 Other-service,18 Own-child,Other-service Own-child
31,7th-8th,Farming-fishing,Husband,40,31 Farming-fishing,31 Husband,Farming-fishing Husband
18,HS-grad,Sales,Not-in-family,30,18 Sales,18 Not-in-family,Sales Not-in-family
52,Bachelors,Other-service,Husband,40,52 Other-service,52 Husband,Other-service Husband
46,HS-grad,Other-service,Wife,40,46 Other-service,46 Wife,Other-service Wife
59,HS-grad,Sales,Husband,48,59 Sales,59 Husband,Sales Husband
44,HS-grad,Craft-repair,Not-in-family,40,44 Craft-repair,44 Not-in-family,Craft-repair Not-in-family
53,HS-grad,Sales,Own-child,35,53 Sales,53 Own-child,Sales Own-child
49,HS-grad,Protective-serv,Husband,40,49 Protective-serv,49 Husband,Protective-serv Husband
33,Masters,Prof-specialty,Husband,50,33 Prof-specialty,33 Husband,Prof-specialty Husband
30,9th,Sales,Not-in-family,40,30 Sales,30 Not-in-family,Sales Not-in-family
43,Doctorate,Prof-specialty,Not-in-family,50,43 Prof-specialty,43 Not-in-family,Prof-specialty Not-in-family
57,Assoc-voc,Prof-specialty,Husband,40,57 Prof-specialty,57 Husband,Prof-specialty Husband
37,Some-college,Craft-repair,Unmarried,40,37 Craft-repair,37 Unmarried,Craft-repair Unmarried
28,Some-college,Machine-op-inspct,Unmarried,25,28 Machine-op-inspct,28 Unmarried,Machine-op-inspct Unmarried
30,HS-grad,Sales,Wife,35,30 Sales,30 Wife,Sales Wife
34,Bachelors,Protective-serv,Husband,40,34 Protective-serv,34 Husband,Protective-serv Husband
29,Some-college,Handlers-cleaners,Not-in-family,50,29 Handlers-cleaners,29 Not-in-family,Handlers-cleaners Not-in-family
48,Doctorate,Prof-specialty,Husband,60,48 Prof-specialty,48 Husband,Prof-specialty Husband
37,Some-college,Sales,Husband,48,37 Sales,37 Husband,Sales Husband
48,Assoc-acdm,Exec-managerial,Unmarried,40,48 Exec-managerial,48 Unmarried,Exec-managerial Unmarried
32,HS-grad,Other-service,Own-child,40,32 Other-service,32 Own-child,Other-service Own-child
76,Masters,Exec-managerial,Husband,40,76 Exec-managerial,76 Husband,Exec-managerial Husband
44,Bachelors,Exec-managerial,Husband,60,44 Exec-managerial,44 Husband,Exec-managerial Husband
47,Masters,Prof-specialty,Not-in-family,50,47 Prof-specialty,47 Not-in-family,Prof-specialty Not-in-family
20,Some-college,Tech-support,Own-child,40,20 Tech-support,20 Own-child,Tech-support Own-child
29,HS-grad,Craft-repair,Not-in-family,40,29 Craft-repair,29 Not-in-family,Craft-repair Not-in-family
32,HS-grad,Craft-repair,Husband,40,32 Craft-repair,32 Husband,Craft-repair Husband
17,10th,noValueSetHere123156456,Own-child,32,17 noValueSetHere123156456,17 Own-child,noValueSetHere123156456 Own-child
30,11th,Handlers-cleaners,Own-child,40,30 Handlers-cleaners,30 Own-child,Handlers-cleaners Own-child
31,HS-grad,Adm-clerical,Not-in-family,40,31 Adm-clerical,31 Not-in-family,Adm-clerical Not-in-family
42,HS-grad,Handlers-cleaners,Husband,40,42 Handlers-cleaners,42 Husband,Handlers-cleaners Husband
24,Bachelors,Sales,Other-relative,40,24 Sales,24 Other-relative,Sales Other-relative
38,Prof-school,Prof-specialty,Husband,40,38 Prof-specialty,38 Husband,Prof-specialty Husband
56,HS-grad,Other-service,Husband,50,56 Other-service,56 Husband,Other-service Husband
28,Some-college,Sales,Wife,25,28 Sales,28 Wife,Sales Wife
36,HS-grad,Machine-op-inspct,Own-child,40,36 Machine-op-inspct,36 Own-child,Machine-op-inspct Own-child
53,9th,Handlers-cleaners,Husband,50,53 Handlers-cleaners,53 Husband,Handlers-cleaners Husband
56,Some-college,Sales,Husband,50,56 Sales,56 Husband,Sales Husband
49,Assoc-voc,Craft-repair,Husband,40,49 Craft-repair,49 Husband,Craft-repair Husband
55,Some-college,Sales,Husband,56,55 Sales,55 Husband,Sales Husband
22,HS-grad,Craft-repair,Not-in-family,41,22 Craft-repair,22 Not-in-family,Craft-repair Not-in-family
21,Some-college,Other-service,Own-child,40,21 Other-service,21 Own-child,Other-service Own-child
40,Bachelors,Exec-managerial,Husband,60,40 Exec-managerial,40 Husband,Exec-managerial Husband
30,Bachelors,Exec-managerial,Own-child,40,30 Exec-managerial,30 Own-child,Exec-managerial Own-child
29,Bachelors,Prof-specialty,Husband,50,29 Prof-specialty,29 Husband,Prof-specialty Husband
19,Some-college,Other-service,Own-child,35,19 Other-service,19 Own-child,Other-service Own-child
47,Bachelors,Exec-managerial,Wife,40,47 Exec-managerial,47 Wife,Exec-managerial Wife
20,Some-college,Adm-clerical,Own-child,28,20 Adm-clerical,20 Own-child,Adm-clerical Own-child
31,Assoc-acdm,Adm-clerical,Husband,40,31 Adm-clerical,31 Husband,Adm-clerical Husband
35,HS-grad,noValueSetHere123156456,Husband,40,35 noValueSetHere123156456,35 Husband,noValueSetHere123156456 Husband
39,Some-college,Craft-repair,Not-in-family,40,39 Craft-repair,39 Not-in-family,Craft-repair Not-in-family
28,Assoc-acdm,Sales,Not-in-family,60,28 Sales,28 Not-in-family,Sales Not-in-family
24,HS-grad,Other-service,Not-in-family,40,24 Other-service,24 Not-in-family,Other-service Not-in-family
38,HS-grad,Craft-repair,Husband,35,38 Craft-repair,38 Husband,Craft-repair Husband
37,Bachelors,Sales,Husband,50,37 Sales,37 Husband,Sales Husband
46,Assoc-acdm,Tech-support,Not-in-family,36,46 Tech-support,46 Not-in-family,Tech-support Not-in-family
38,Masters,Prof-specialty,Husband,40,38 Prof-specialty,38 Husband,Prof-specialty Husband
43,HS-grad,Craft-repair,Husband,60,43 Craft-repair,43 Husband,Craft-repair Husband
27,Assoc-voc,Adm-clerical,Wife,35,27 Adm-clerical,27 Wife,Adm-clerical Wife
20,Some-college,Sales,Own-child,20,20 Sales,20 Own-child,Sales Own-child
49,Some-college,Craft-repair,Husband,40,49 Craft-repair,49 Husband,Craft-repair Husband
61,HS-grad,Craft-repair,Husband,40,61 Craft-repair,61 Husband,Craft-repair Husband
27,Some-college,Sales,Own-child,40,27 Sales,27 Own-child,Sales Own-child
19,Some-college,Other-service,Own-child,30,19 Other-service,19 Own-child,Other-service Own-child
45,Assoc-voc,Prof-specialty,Not-in-family,40,45 Prof-specialty,45 Not-in-family,Prof-specialty Not-in-family
70,Some-college,Tech-support,Other-relative,40,70 Tech-support,70 Other-relative,Tech-support Other-relative
31,HS-grad,Transport-moving,Unmarried,30,31 Transport-moving,31 Unmarried,Transport-moving Unmarried
22,Some-college,Other-service,Husband,24,22 Other-service,22 Husband,Other-service Husband
36,HS-grad,Other-service,Unmarried,24,36 Other-service,36 Unmarried,Other-service Unmarried
64,11th,Craft-repair,Husband,40,64 Craft-repair,64 Husband,Craft-repair Husband
43,Some-college,noValueSetHere123156456,Not-in-family,40,43 noValueSetHere123156456,43 Not-in-family,noValueSetHere123156456 Not-in-family
47,Some-college,Adm-clerical,Unmarried,38,47 Adm-clerical,47 Unmarried,Adm-clerical Unmarried
34,HS-grad,Adm-clerical,Not-in-family,40,34 Adm-clerical,34 Not-in-family,Adm-clerical Not-in-family
33,Bachelors,Exec-managerial,Other-relative,40,33 Exec-managerial,33 Other-relative,Exec-managerial Other-relative
21,HS-grad,Craft-repair,Own-child,35,21 Craft-repair,21 Own-child,Craft-repair Own-child
52,HS-grad,noValueSetHere123156456,Not-in-family,45,52 noValueSetHere123156456,52 Not-in-family,noValueSetHere123156456 Not-in-family
48,HS-grad,Craft-repair,Husband,46,48 Craft-repair,48 Husband,Craft-repair Husband
23,Bachelors,Handlers-cleaners,Not-in-family,40,23 Handlers-cleaners,23 Not-in-family,Handlers-cleaners Not-in-family
71,Some-college,Sales,Unmarried,2,71 Sales,71 Unmarried,Sales Unmarried
29,HS-grad,Craft-repair,Not-in-family,60,29 Craft-repair,29 Not-in-family,Craft-repair Not-in-family
42,Bachelors,Other-service,Other-relative,50,42 Other-service,42 Other-relative,Other-service Other-relative
68,1st-4th,noValueSetHere123156456,Not-in-family,20,68 noValueSetHere123156456,68 Not-in-family,noValueSetHere123156456 Not-in-family
25,HS-grad,Other-service,Unmarried,40,25 Other-service,25 Unmarried,Other-service Unmarried
44,Masters,Exec-managerial,Unmarried,40,44 Exec-managerial,44 Unmarried,Exec-managerial Unmarried
28,HS-grad,Exec-managerial,Not-in-family,40,28 Exec-managerial,28 Not-in-family,Exec-managerial Not-in-family
45,Masters,Sales,Husband,40,45 Sales,45 Husband,Sales Husband
36,Some-college,Other-service,Unmarried,40,36 Other-service,36 Unmarried,Other-service Unmarried
39,Assoc-acdm,Exec-managerial,Not-in-family,42,39 Exec-managerial,39 Not-in-family,Exec-managerial Not-in-family
46,Masters,Protective-serv,Unmarried,40,46 Protective-serv,46 Unmarried,Protective-serv Unmarried
18,11th,Handlers-cleaners,Own-child,16,18 Handlers-cleaners,18 Own-child,Handlers-cleaners Own-child
66,Assoc-voc,Prof-specialty,Not-in-family,20,66 Prof-specialty,66 Not-in-family,Prof-specialty Not-in-family
27,HS-grad,Other-service,Not-in-family,40,27 Other-service,27 Not-in-family,Other-service Not-in-family
28,HS-grad,Protective-serv,Husband,40,28 Protective-serv,28 Husband,Protective-serv Husband
51,Some-college,Sales,Husband,40,51 Sales,51 Husband,Sales Husband
27,Bachelors,Craft-repair,Not-in-family,50,27 Craft-repair,27 Not-in-family,Craft-repair Not-in-family
28,Bachelors,Prof-specialty,Husband,40,28 Prof-specialty,28 Husband,Prof-specialty Husband
27,HS-grad,Sales,Unmarried,25,27 Sales,27 Unmarried,Sales Unmarried
21,HS-grad,Craft-repair,Own-child,40,21 Craft-repair,21 Own-child,Craft-repair Own-child
34,HS-grad,Handlers-cleaners,Not-in-family,40,34 Handlers-cleaners,34 Not-in-family,Handlers-cleaners Not-in-family
18,HS-grad,Other-service,Own-child,12,18 Other-service,18 Own-child,Other-service Own-child
33,Bachelors,Prof-specialty,Husband,65,33 Prof-specialty,33 Husband,Prof-specialty Husband
44,Some-college,Exec-managerial,Husband,38,44 Exec-managerial,44 Husband,Exec-managerial Husband
43,Some-college,Adm-clerical,Not-in-family,40,43 Adm-clerical,43 Not-in-family,Adm-clerical Not-in-family
30,Some-college,Craft-repair,Not-in-family,45,30 Craft-repair,30 Not-in-family,Craft-repair Not-in-family
40,7th-8th,Machine-op-inspct,Husband,40,40 Machine-op-inspct,40 Husband,Machine-op-inspct Husband
37,Some-college,Adm-clerical,Husband,42,37 Adm-clerical,37 Husband,Adm-clerical Husband
34,HS-grad,Adm-clerical,Husband,40,34 Adm-clerical,34 Husband,Adm-clerical Husband
41,Bachelors,Exec-managerial,Not-in-family,40,41 Exec-managerial,41 Not-in-family,Exec-managerial Not-in-family
53,Bachelors,noValueSetHere123156456,Not-in-family,50,53 noValueSetHere123156456,53 Not-in-family,noValueSetHere123156456 Not-in-family
31,Masters,Prof-specialty,Wife,50,31 Prof-specialty,31 Wife,Prof-specialty Wife
58,Doctorate,Prof-specialty,Husband,1,58 Prof-specialty,58 Husband,Prof-specialty Husband
38,Some-college,Machine-op-inspct,Not-in-family,28,38 Machine-op-inspct,38 Not-in-family,Machine-op-inspct Not-in-family
24,Some-college,Machine-op-inspct,Husband,40,24 Machine-op-inspct,24 Husband,Machine-op-inspct Husband
41,Bachelors,Craft-repair,Husband,40,41 Craft-repair,41 Husband,Craft-repair Husband
47,Some-college,Tech-support,Husband,45,47 Tech-support,47 Husband,Tech-support Husband
41,Bachelors,Tech-support,Husband,24,41 Tech-support,41 Husband,Tech-support Husband
23,5th-6th,Transport-moving,Other-relative,40,23 Transport-moving,23 Other-relative,Transport-moving Other-relative
36,Some-college,Craft-repair,Not-in-family,40,36 Craft-repair,36 Not-in-family,Craft-repair Not-in-family
40,Masters,Exec-managerial,Not-in-family,55,40 Exec-managerial,40 Not-in-family,Exec-managerial Not-in-family
35,Masters,Prof-specialty,Other-relative,40,35 Prof-specialty,35 Other-relative,Prof-specialty Other-relative
24,HS-grad,Sales,Not-in-family,40,24 Sales,24 Not-in-family,Sales Not-in-family
26,Masters,Prof-specialty,Not-in-family,40,26 Prof-specialty,26 Not-in-family,Prof-specialty Not-in-family
19,HS-grad,noValueSetHere123156456,Own-child,40,19 noValueSetHere123156456,19 Own-child,noValueSetHere123156456 Own-child
51,Bachelors,Exec-managerial,Husband,50,51 Exec-managerial,51 Husband,Exec-managerial Husband
42,Some-college,Prof-specialty,Not-in-family,40,42 Prof-specialty,42 Not-in-family,Prof-specialty Not-in-family
37,HS-grad,Adm-clerical,Unmarried,35,37 Adm-clerical,37 Unmarried,Adm-clerical Unmarried
18,11th,Sales,Own-child,40,18 Sales,18 Own-child,Sales Own-child
36,Bachelors,Other-service,Husband,36,36 Other-service,36 Husband,Other-service Husband
35,HS-grad,Craft-repair,Not-in-family,60,35 Craft-repair,35 Not-in-family,Craft-repair Not-in-family
58,HS-grad,Sales,Wife,35,58 Sales,58 Wife,Sales Wife
17,11th,Sales,Own-child,12,17 Sales,17 Own-child,Sales Own-child
44,HS-grad,Transport-moving,Husband,40,44 Transport-moving,44 Husband,Transport-moving Husband
37,HS-grad,Craft-repair,Husband,40,37 Craft-repair,37 Husband,Craft-repair Husband
35,Some-college,Sales,Not-in-family,40,35 Sales,35 Not-in-family,Sales Not-in-family
60,HS-grad,Craft-repair,Husband,40,60 Craft-repair,60 Husband,Craft-repair Husband
54,7th-8th,Machine-op-inspct,Husband,40,54 Machine-op-inspct,54 Husband,Machine-op-inspct Husband
37,Bachelors,Exec-managerial,Not-in-family,60,37 Exec-managerial,37 Not-in-family,Exec-managerial Not-in-family
50,Assoc-acdm,Sales,Not-in-family,40,50 Sales,50 Not-in-family,Sales Not-in-family
38,Bachelors,Sales,Husband,50,38 Sales,38 Husband,Sales Husband
45,Bachelors,Prof-specialty,Husband,55,45 Prof-specialty,45 Husband,Prof-specialty Husband
25,10th,Craft-repair,Not-in-family,40,25 Craft-repair,25 Not-in-family,Craft-repair Not-in-family
31,Some-college,Handlers-cleaners,Husband,40,31 Handlers-cleaners,31 Husband,Handlers-cleaners Husband
64,1st-4th,noValueSetHere123156456,Not-in-family,40,64 noValueSetHere123156456,64 Not-in-family,noValueSetHere123156456 Not-in-family
90,HS-grad,Other-service,Not-in-family,40,90 Other-service,90 Not-in-family,Other-service Not-in-family
54,HS-grad,Adm-clerical,Husband,20,54 Adm-clerical,54 Husband,Adm-clerical Husband
53,Preschool,Machine-op-inspct,Not-in-family,35,53 Machine-op-inspct,53 Not-in-family,Machine-op-inspct Not-in-family
18,HS-grad,Sales,Own-child,40,18 Sales,18 Own-child,Sales Own-child
60,10th,noValueSetHere123156456,Not-in-family,10,60 noValueSetHere123156456,60 Not-in-family,noValueSetHere123156456 Not-in-family
66,HS-grad,Farming-fishing,Husband,50,66 Farming-fishing,66 Husband,Farming-fishing Husband
75,Assoc-voc,Adm-clerical,Not-in-family,20,75 Adm-clerical,75 Not-in-family,Adm-clerical Not-in-family
65,HS-grad,Adm-clerical,Not-in-family,40,65 Adm-clerical,65 Not-in-family,Adm-clerical Not-in-family
35,11th,Transport-moving,Not-in-family,40,35 Transport-moving,35 Not-in-family,Transport-moving Not-in-family
41,HS-grad,Sales,Unmarried,38,41 Sales,41 Unmarried,Sales Unmarried
25,Some-college,Adm-clerical,Not-in-family,42,25 Adm-clerical,25 Not-in-family,Adm-clerical Not-in-family
33,Some-college,Craft-repair,Other-relative,40,33 Craft-repair,33 Other-relative,Craft-repair Other-relative
28,Prof-school,Prof-specialty,Not-in-family,55,28 Prof-specialty,28 Not-in-family,Prof-specialty Not-in-family
59,HS-grad,Other-service,Husband,40,59 Other-service,59 Husband,Other-service Husband
40,Some-college,Adm-clerical,Not-in-family,38,40 Adm-clerical,40 Not-in-family,Adm-clerical Not-in-family
41,Bachelors,Exec-managerial,Husband,50,41 Exec-managerial,41 Husband,Exec-managerial Husband
38,Masters,Exec-managerial,Husband,70,38 Exec-managerial,38 Husband,Exec-managerial Husband
23,HS-grad,Transport-moving,Own-child,40,23 Transport-moving,23 Own-child,Transport-moving Own-child
40,Bachelors,Prof-specialty,Husband,40,40 Prof-specialty,40 Husband,Prof-specialty Husband
41,HS-grad,Other-service,Wife,20,41 Other-service,41 Wife,Other-service Wife
24,Assoc-acdm,Protective-serv,Husband,50,24 Protective-serv,24 Husband,Protective-serv Husband
20,Some-college,noValueSetHere123156456,Own-child,20,20 noValueSetHere123156456,20 Own-child,noValueSetHere123156456 Own-child
38,Some-college,Craft-repair,Not-in-family,40,38 Craft-repair,38 Not-in-family,Craft-repair Not-in-family
56,HS-grad,Adm-clerical,Husband,35,56 Adm-clerical,56 Husband,Adm-clerical Husband
58,HS-grad,Adm-clerical,Husband,45,58 Adm-clerical,58 Husband,Adm-clerical Husband
32,HS-grad,Other-service,Not-in-family,34,32 Other-service,32 Not-in-family,Other-service Not-in-family
40,Assoc-acdm,Tech-support,Husband,60,40 Tech-support,40 Husband,Tech-support Husband
45,HS-grad,Adm-clerical,Husband,40,45 Adm-clerical,45 Husband,Adm-clerical Husband
41,Prof-school,Prof-specialty,Wife,40,41 Prof-specialty,41 Wife,Prof-specialty Wife
42,Bachelors,Adm-clerical,Wife,40,42 Adm-clerical,42 Wife,Adm-clerical Wife
59,10th,Other-service,Unmarried,30,59 Other-service,59 Unmarried,Other-service Unmarried
19,Some-college,Adm-clerical,Own-child,40,19 Adm-clerical,19 Own-child,Adm-clerical Own-child
58,Some-college,Transport-moving,Not-in-family,20,58 Transport-moving,58 Not-in-family,Transport-moving Not-in-family
42,HS-grad,Farming-fishing,Husband,40,42 Farming-fishing,42 Husband,Farming-fishing Husband
20,HS-grad,Other-service,Own-child,40,20 Other-service,20 Own-child,Other-service Own-child
32,HS-grad,Other-service,Not-in-family,30,32 Other-service,32 Not-in-family,Other-service Not-in-family
45,Assoc-voc,Exec-managerial,Not-in-family,45,45 Exec-managerial,45 Not-in-family,Exec-managerial Not-in-family
50,7th-8th,Craft-repair,Not-in-family,40,50 Craft-repair,50 Not-in-family,Craft-repair Not-in-family
36,Bachelors,Prof-specialty,Own-child,40,36 Prof-specialty,36 Own-child,Prof-specialty Own-child
45,HS-grad,Sales,Husband,60,45 Sales,45 Husband,Sales Husband
17,11th,Other-service,Own-child,12,17 Other-service,17 Own-child,Other-service Own-child
59,Some-college,Sales,Husband,40,59 Sales,59 Husband,Sales Husband
26,11th,Craft-repair,Husband,40,26 Craft-repair,26 Husband,Craft-repair Husband
37,Some-college,Exec-managerial,Husband,75,37 Exec-managerial,37 Husband,Exec-managerial Husband
19,Some-college,noValueSetHere123156456,Own-child,24,19 noValueSetHere123156456,19 Own-child,noValueSetHere123156456 Own-child
64,HS-grad,Exec-managerial,Husband,40,64 Exec-managerial,64 Husband,Exec-managerial Husband
33,Bachelors,Prof-specialty,Not-in-family,45,33 Prof-specialty,33 Not-in-family,Prof-specialty Not-in-family
33,HS-grad,Craft-repair,Wife,40,33 Craft-repair,33 Wife,Craft-repair Wife
61,HS-grad,Exec-managerial,Husband,40,61 Exec-managerial,61 Husband,Exec-managerial Husband
17,9th,Other-service,Own-child,24,17 Other-service,17 Own-child,Other-service Own-child
50,Masters,Farming-fishing,Husband,98,50 Farming-fishing,50 Husband,Farming-fishing Husband
27,Masters,Prof-specialty,Own-child,35,27 Prof-specialty,27 Own-child,Prof-specialty Own-child
30,HS-grad,Prof-specialty,Own-child,40,30 Prof-specialty,30 Own-child,Prof-specialty Own-child
43,HS-grad,Handlers-cleaners,Husband,40,43 Handlers-cleaners,43 Husband,Handlers-cleaners Husband
44,Some-college,Craft-repair,Husband,40,44 Craft-repair,44 Husband,Craft-repair Husband
35,Some-college,Exec-managerial,Not-in-family,40,35 Exec-managerial,35 Not-in-family,Exec-managerial Not-in-family
25,Some-college,Tech-support,Own-child,40,25 Tech-support,25 Own-child,Tech-support Own-child
24,Some-college,Machine-op-inspct,Wife,48,24 Machine-op-inspct,24 Wife,Machine-op-inspct Wife
